video_id,timestamp,content_type,audience_engagement,production_quality,content_format,content_purpose,source_file
18001,"Jul 2, 2024, 3:51:10 AM PST",Shorts,"trending,informative,entertaining,viral,controversial,educational",,"commentary,guide,reaction,showcase","promotional,storytelling,educational",youtube_analysis_20250303_022941_engagement.csv
18002,"Jul 2, 2024, 3:50:55 AM PST",Shorts,"entertaining,controversial,viral,informative,trending,educational","animated,edited,amateur","compilation,reaction,showcase,commentary,guide,review,analysis,highlights,interview","entertainment,storytelling,news,educational,social_commentary,analysis,personal_vlog,skill_development,product_review",youtube_analysis_20250303_022941_engagement.csv
18003,"Jul 2, 2024, 3:50:33 AM PST",Gaming,"informative,trending,entertaining,viral",live_recording,"reaction,commentary,showcase,analysis","social_commentary,analysis",youtube_analysis_20250303_022941_engagement.csv
18004,"Jul 2, 2024, 3:50:06 AM PST",Technology,"informative,trending,entertaining,viral,controversial,educational,mature","professional,high_production,live_recording,studio_quality,edited,animated,raw_footage","stream_highlights,highlights,reaction,showcase,guide,analysis,review,compilation,interview,commentary,documentary","news,social_commentary,skill_development,analysis,storytelling,educational,entertainment",youtube_analysis_20250303_022941_engagement.csv
18005,"Jul 2, 2024, 3:49:53 AM PST",Entertainment,"viral,entertaining,trending,family_friendly","high_production,animated,studio_quality,edited","showcase,highlights,stream_highlights,compilation,reaction,guide,interview,commentary","entertainment,social_commentary,personal_vlog",youtube_analysis_20250303_022941_engagement.csv
18006,"Jul 2, 2024, 3:49:33 AM PST",Entertainment,"trending,viral,entertaining,informative,clickbait",edited,"showcase,compilation,highlights,stream_highlights,reaction","entertainment,promotional,news,storytelling,social_commentary",youtube_analysis_20250303_022941_engagement.csv
18007,"Jul 2, 2024, 3:48:54 AM PST",Technology,"trending,informative,entertaining,viral,controversial,mature,educational","professional,high_production,animated,studio_quality,edited","guide,showcase,commentary,reaction,highlights,stream_highlights","entertainment,skill_development,educational",youtube_analysis_20250303_022941_engagement.csv
18008,"Jul 2, 2024, 3:48:37 AM PST",Entertainment,"entertaining,viral,controversial,trending,informative",animated,"reaction,showcase,commentary,highlights,guide","news,entertainment",youtube_analysis_20250303_022941_engagement.csv
18009,"Jul 2, 2024, 3:48:19 AM PST",Tutorial,"entertaining,viral,trending,informative,educational",,"showcase,tutorial,guide,highlights,walkthrough","educational,entertainment,news",youtube_analysis_20250303_022941_engagement.csv
18010,"Jul 2, 2024, 3:47:57 AM PST",Gaming,"mature,entertaining,trending,viral,informative,controversial","high_production,edited,studio_quality,animated","reaction,showcase,commentary,compilation,stream_highlights,guide,highlights,podcast","skill_development,personal_vlog,product_review,news,entertainment,social_commentary",youtube_analysis_20250303_022941_engagement.csv
18011,"Jul 2, 2024, 3:43:27 AM PST",Entertainment,"entertaining,viral,trending,informative,educational,family_friendly,mature","animated,professional,high_production","showcase,compilation,highlights","entertainment,educational,storytelling,promotional",youtube_analysis_20250303_022941_engagement.csv
18012,"Jul 2, 2024, 3:43:08 AM PST",Entertainment,"entertaining,trending,viral,informative,mature,family_friendly,educational","high_production,studio_quality,professional,animated,edited,live_recording,raw_footage","reaction,highlights,stream_highlights,showcase,guide,compilation,commentary,interview,review,walkthrough,podcast,analysis","entertainment,news,social_commentary,personal_vlog,skill_development,storytelling,product_review,analysis,educational",youtube_analysis_20250303_022941_engagement.csv
18013,"Jul 1, 2024, 7:41:51 PM PST",Technology,"informative,trending,entertaining,viral,educational","studio_quality,professional,edited","guide,showcase,highlights,stream_highlights,compilation","skill_development,educational",youtube_analysis_20250303_022941_engagement.csv
18014,"Jul 1, 2024, 7:41:37 PM PST",Reviews,"mature,controversial","edited,professional,studio_quality","reaction,commentary,compilation,guide",,youtube_analysis_20250303_022941_engagement.csv
18015,"Jul 1, 2024, 7:41:30 PM PST",News,"controversial,trending,viral,entertaining,informative",animated,"reaction,compilation,showcase,highlights,podcast,stream_highlights,analysis","news,social_commentary,analysis,entertainment",youtube_analysis_20250303_022941_engagement.csv
18016,"Jul 1, 2024, 7:41:11 PM PST",Sports,"educational,informative,trending,entertaining,viral,mature,controversial","professional,high_production,studio_quality,raw_footage,animated,live_recording","tutorial,guide,highlights,commentary,showcase,stream_highlights,reaction,analysis,compilation,review,interview,walkthrough","educational,news,analysis,skill_development,social_commentary,storytelling",youtube_analysis_20250303_022941_engagement.csv
18017,"Jul 1, 2024, 7:40:10 PM PST",Music,"controversial,viral,trending,clickbait","amateur,edited,high_production,animated,raw_footage","reaction,commentary,highlights,stream_highlights,showcase","skill_development,news,entertainment",youtube_analysis_20250303_022941_engagement.csv
18018,"Jul 1, 2024, 7:39:12 PM PST",Shorts,"controversial,trending,entertaining,viral,informative,educational","amateur,raw_footage,edited,animated","reaction,commentary,compilation,podcast,guide,showcase,analysis,review","news,social_commentary,entertainment,storytelling,educational,analysis,skill_development",youtube_analysis_20250303_022941_engagement.csv
18019,"Jul 1, 2024, 7:38:20 PM PST",Tutorial,"trending,educational,viral,informative,entertaining,family_friendly","professional,edited","tutorial,guide,showcase,compilation,commentary,podcast,highlights","educational,promotional,storytelling",youtube_analysis_20250303_022941_engagement.csv
18020,"Jul 1, 2024, 7:37:48 PM PST",Shorts,"controversial,trending,viral,informative",edited,"reaction,commentary,compilation,analysis,showcase","social_commentary,news,analysis",youtube_analysis_20250303_022941_engagement.csv
18021,"Jul 1, 2024, 7:37:17 PM PST",Shorts,"trending,viral,educational,entertaining,informative,controversial","edited,animated","showcase,commentary,highlights,analysis","educational,news,promotional,analysis",youtube_analysis_20250303_022941_engagement.csv
18022,"Jul 1, 2024, 7:36:31 PM PST",Sports,"controversial,trending,viral,entertaining",,"showcase,highlights,commentary,reaction,compilation,analysis","news,social_commentary,analysis",youtube_analysis_20250303_022941_engagement.csv
18023,"Jul 1, 2024, 7:35:36 PM PST",Shorts,"informative,trending,entertaining,mature,viral,controversial","professional,edited","interview,highlights,guide,showcase",news,youtube_analysis_20250303_022941_engagement.csv
18024,"Jul 1, 2024, 7:34:35 PM PST",Entertainment,"controversial,entertaining,viral,trending,informative","animated,raw_footage","reaction,showcase,highlights,compilation,commentary,stream_highlights","news,storytelling,entertainment,social_commentary",youtube_analysis_20250303_022941_engagement.csv
18025,"Jul 1, 2024, 7:34:23 PM PST",Shorts,"trending,viral,entertaining,informative,educational","edited,animated,live_recording,raw_footage,amateur","showcase,compilation,reaction,highlights,guide,commentary","entertainment,storytelling,news,promotional,educational",youtube_analysis_20250303_022941_engagement.csv
18026,"Jul 1, 2024, 7:34:21 PM PST",Shorts,"trending,entertaining,viral,educational","edited,amateur",showcase,educational,youtube_analysis_20250303_022941_engagement.csv
18027,"Jul 1, 2024, 7:34:16 PM PST",Tutorial,"trending,entertaining,viral,informative,controversial,educational","amateur,animated","compilation,showcase,tutorial,highlights,reaction,guide","entertainment,news,storytelling,educational",youtube_analysis_20250303_022941_engagement.csv
