app,end,start,floorsClimbed_floors,floorsClimbed_total_time
com.fitbit.FitbitMobile,2025-02-21 18:51:00+00:00,2025-02-21 18:50:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 08:33:00+00:00,2025-02-21 08:32:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 15:49:00+00:00,2025-02-21 15:48:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 18:51:00+00:00,2025-02-21 18:50:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 19:58:00+00:00,2025-02-21 19:57:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 08:33:00+00:00,2025-02-21 08:32:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 15:49:00+00:00,2025-02-21 15:48:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 18:51:00+00:00,2025-02-21 18:50:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 19:58:00+00:00,2025-02-21 19:57:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 08:33:00+00:00,2025-02-21 08:32:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 15:49:00+00:00,2025-02-21 15:48:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 18:51:00+00:00,2025-02-21 18:50:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 19:58:00+00:00,2025-02-21 19:57:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 08:33:00+00:00,2025-02-21 08:32:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 15:49:00+00:00,2025-02-21 15:48:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 18:51:00+00:00,2025-02-21 18:50:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 19:58:00+00:00,2025-02-21 19:57:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 08:33:00+00:00,2025-02-21 08:32:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 15:49:00+00:00,2025-02-21 15:48:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 18:51:00+00:00,2025-02-21 18:50:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 19:58:00+00:00,2025-02-21 19:57:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 08:33:00+00:00,2025-02-21 08:32:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 15:49:00+00:00,2025-02-21 15:48:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 18:51:00+00:00,2025-02-21 18:50:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 19:58:00+00:00,2025-02-21 19:57:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 08:33:00+00:00,2025-02-21 08:32:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 15:49:00+00:00,2025-02-21 15:48:00+00:00,1,1.0
